id,favorite_count,retweet_count
751937170840121344,5358,1382
751830394383790080,5973,2017
751793661361422336,6033,2997
751598357617971201,8155,3135
751583847268179968,4533,1144
751538714308972544,5198,1303
751456908746354688,3304,1035
751251247299190784,12881,6090
751205363882532864,6507,1886
751132876104687617,5210,1343
750868782890057730,4929,1427
750719632563142656,13582,5214
750506206503038976,4572,1182
750429297815552001,13563,4428
750383411068534784,4690,1187
750381685133418496,725,29
750147208377409536,3200,988
750132105863102464,3736,1338
750117059602808832,4459,1353
750101899009982464,3137,867
750086836815486976,2233,557
750071704093859840,8110,3445
750056684286914561,3242,928
750041628174217216,3268,641
750026558547456000,2787,810
750011400160841729,3330,936
749996283729883136,3149,842
749981277374128128,5258,2530
749774190421639168,4794,1359
749417653287129088,6275,1697
749403093750648834,2698,554
749395845976588288,8850,3560
749317047558017024,5642,2300
749075273010798592,5919,2137
749064354620928000,4933,1565
749036806121881602,3194,816
748977405889503236,11042,3514
748932637671223296,5995,2336
748705597323898880,2845,975
748699167502000129,4880,1647
748692773788876800,4356,1364
748575535303884801,6234,2041
748568946752774144,2249,686
748346686624440324,5365,1270
748337862848962560,7885,4232
748324050481647620,3784,781
748307329658011649,3767,729
748220828303695873,14552,8048
747963614829678593,5925,2211
747933425676525569,6803,2619
747885874273214464,3026,1008
747844099428986880,2885,771
747816857231626240,4977,1197
747651430853525504,1422,160
747648653817413632,13270,6021
747600769478692864,2384,567
747594051852075008,3781,1079
747512671126323200,5689,1645
747461612269887489,3973,1066
747439450712596480,5581,1974
747242308580548608,0,2967
747219827526344708,5424,1624
747204161125646336,3468,944
747103485104099331,9835,4085
746906459439529985,2971,308
746872823977771008,6140,2192
746818907684614144,5439,1784
746790600704425984,5004,1640
746757706116112384,9825,4019
746726898085036033,6211,1845
746542875601690625,5171,1925
746521445350707200,0,1013
746507379341139972,4765,1111
746369468511756288,6336,1685
746131877086527488,7096,2279
746056683365994496,3640,836
745789745784041472,4124,1097
745712589599014916,7173,2393
745433870967832576,7269,2617
745422732645535745,8814,2501
745314880350101504,7364,2849
745074613265149952,8037,3619
745057283344719872,7425,2338
744995568523612160,3039,638
744971049620602880,8089,2762
744709971296780288,5746,1614
744334592493166593,6956,2187
744234799360020481,160628,80357
744223424764059648,1718,376
743980027717509120,4269,1126
743895849529389061,3730,985
743835915802583040,0,2149
743609206067040256,4598,1413
743595368194129920,18901,6739
743545585370791937,3626,969
743510151680958465,8110,3809
743253157753532416,4336,1259
743222593470234624,6364,1949
743210557239623680,3951,1409
742534281772302336,7228,3657
742528092657332225,4538,2031
742465774154047488,7440,3985
742423170473463808,10055,3875
742385895052087300,6972,2029
742161199639494656,4454,1418
742150209887731712,5265,1584
741793263812808706,4666,1552
741743634094141440,8381,2843
741438259667034112,3759,853
741303864243200000,9000,3312
741099773336379392,10253,5668
741067306818797568,9701,3182
740995100998766593,6531,2820
740711788199743490,3496,964
740699697422163968,2908,805
740676976021798912,18594,6992
740373189193256964,35671,13655
740365076218183684,2525,441
740359016048689152,3376,879
740214038584557568,6852,2021
739979191639244800,20446,6067
739932936087216128,4146,1107
739844404073074688,3896,880
739623569819336705,3869,1393
739606147276148736,5490,1699
739544079319588864,40556,21909
739485634323156992,7328,3013
739238157791694849,118615,59560
738891149612572673,112,6
738885046782832640,3852,1172
738883359779196928,3387,818
738537504001953792,5217,1588
738402415918125056,3314,860
738184450748633089,4413,1242
738166403467907072,8989,3462
738156290900254721,2569,663
737826014890496000,5388,1806
737800304142471168,10225,3561
737678689543020544,5149,1365
737445876994609152,10502,4568
737322739594330112,3682,833
737310737551491075,15021,7587
736736130620620800,4387,1780
736392552031657984,18122,7602
736365877722001409,4073,1277
736225175608430592,8301,2842
